Unnamed: 0,MODE,sv,sw,gc_dist,r_dist,temp_cntl,export,hazmat,wgt_factor,sctg,naics,orig_state,orig_state_full,states_code_o,orig_ma,dest_state,dest_state_full,states_code_d,dest_ma,sctg_n
5736,1,7960,21,70,79,0,0,0,670.6,37,4238,6,California,CA,348,6,California,CA,348,8
5737,1,173355,3221,551,627,0,0,0,9.5,37,336,1,Alabama,AL,380,21,Kentucky,KY,350,8
5738,1,220013,1271,2405,2932,0,0,0,382.5,37,336,41,Oregon,OR,440,45,South Carolina,SC,16700,8
5739,2,1938,4,5,6,0,0,0,322.7,37,332,9,Connecticut,CT,25540,9,Connecticut,CT,25540,8
5740,1,647,653,395,477,0,0,0,25.0,37,331,20,Kansas,KS,312,21,Kentucky,KY,99999,8
5741,1,3456,12,1093,1276,0,0,0,25.3,37,336,12,Florida,FL,45300,9,Connecticut,CT,408,8
5742,3,317,1,1688,2003,0,0,0,429.3,37,335,6,California,CA,348,17,Illinois,IL,176,8
5743,3,541,13,462,474,0,0,0,44.3,37,334,4,Arizona,AZ,536,6,California,CA,348,8
5744,3,6831,33,1236,1800,0,1,0,1225.3,37,334,6,California,CA,348,48,Texas,TX,206,8
5745,1,3935,1116,806,910,0,0,0,23.8,37,336,17,Illinois,IL,476,8,Colorado,CO,99999,8
5746,3,2688,4,254,284,0,0,0,327.2,37,332,1,Alabama,AL,99999,47,Tennessee,TN,368,8
5747,1,35158,4804,859,1027,0,0,0,39.9,37,336,54,West Virginia,WV,99999,48,Texas,TX,206,8
5748,1,117587,614,1736,1978,0,0,0,21.4,37,332,6,California,CA,41740,1,Alabama,AL,380,8
5749,4,1948,2,2062,2112,0,0,0,187.1,37,336,4,Arizona,AZ,38060,36,New York,NY,99999,8
5750,4,567,2,1422,1440,0,0,0,148.1,37,336,36,New York,NY,408,48,Texas,TX,206,8
5751,3,3694,4,1210,1517,0,0,0,129.0,37,334,6,California,CA,348,20,Kansas,KS,556,8
5752,1,317690,19116,841,987,0,0,0,29.9,37,336,12,Florida,FL,422,42,Pennsylvania,PA,99999,8
5753,1,5665,189,842,1091,0,0,0,411.6,37,336,20,Kansas,KS,556,13,Georgia,GA,99999,8
5754,1,2786,173,724,951,0,0,0,476.6,37,336,40,Oklahoma,OK,538,8,Colorado,CO,99999,8
5755,3,182,5,986,1247,0,0,0,166.4,37,336,4,Arizona,AZ,99999,48,Texas,TX,206,8
5756,3,1238,16,44,50,0,0,0,1027.1,37,332,36,New York,NY,408,36,New York,NY,408,8
5757,3,19153,4,1371,1788,0,0,0,343.4,37,336,53,Washington,WA,500,48,Texas,TX,99999,8
5758,4,122171,28,764,1284,0,1,0,9.4,37,334,17,Illinois,IL,176,36,New York,NY,408,8
5759,3,1784,2,1567,1944,0,0,0,384.3,37,332,4,Arizona,AZ,38060,26,Michigan,MI,266,8
5760,3,4786,18,303,433,0,0,0,175.0,37,332,36,New York,NY,160,34,New Jersey,NJ,408,8
5761,3,3819,20,658,936,0,0,0,29.7,37,4238,50,Vermont,VT,99999,26,Michigan,MI,266,8
5762,3,300,2,595,690,0,0,0,3831.2,37,4238,13,Georgia,GA,122,12,Florida,FL,370,8
5763,1,80438,970,1097,1232,0,0,0,75.2,37,336,8,Colorado,CO,99999,39,Ohio,OH,212,8
5764,3,8189,29,4,5,0,0,0,144.8,37,334,12,Florida,FL,99999,12,Florida,FL,99999,8
5765,3,16063,114,104,129,0,0,0,44.1,37,336,42,Pennsylvania,PA,428,36,New York,NY,408,8
5766,4,17969,13,1234,1279,0,0,0,87.1,37,334,6,California,CA,348,48,Texas,TX,12420,8
